"EV001","",""
"小悪魔B","","Imp B"
"<アル>
『この子はその影響を、もろに受けちゃってるみたい！
　はやめにやめてもらわないと、
　ほんとに取り返しがつかなくなっちゃうかも！』","","<Al>
""That girl seems to be absorbing others' souls as a
 whole! If we don't stop her quickly, her soul might
 break!"""
"<アル>
『……あれ？\n[1]、
　ちゃんと、私の話についてきてこれてる？』","","<Al>
""...Eh? \n[1], are you keeping up with my
 explanation?"""
"何とか","","Somehow"
"正直あんまり","","Honestly, no"
"<アル>
『よかった！
　………正直、自分でもなんてこんなことが分かるのか、
　不安だから…………』","","<Al>
""Good! Honestly, I'm feeling a bit uneasy because
 I don't know why I can understand this stuff..."
"<アル>
『ちゃんと、\n[1]が理解してくれたのは嬉しいな♪』","",""
"貴方も、アルになぜそのようなことが理解できるのか、
それは不思議だと感じる。","",""
"それでも、今はアルのことを気にするよりも、
彼女に危険性を説明するほうが先だろう。","",""
"<アル>
『だ、だよね！
　私も、一気に頭が働いて、
　まるで自分じゃないみたいで気持ち悪いし…………』","",""
"<アル>
『とにかく！
　あのレベル上げの方法を使い続けたら、
　この子も危険ってことだよ！』","",""
"<アル>
『だから、そのことを彼女に伝えて欲しいの！』","",""
"貴方はアルの言葉に頷き、了承する。","",""
"貴方はアルから聞いた内容を、短くまとめて彼女に伝えた。","","You told Yuuka a summary of what Al explained to you."
"<優香>
『はぁ？精神にノイズ？
　そんなことあるわけ……あるわけ…………』","","<Yuuka>
""Huh? Soul noise? There's nothing like... That..."""
"<優香>
『………………………………』","","<Yuuka>
""..."""
"<優香>
『予期せぬ挙動でのバグ？
　私自身がエラーを起こして…………』","","<Yuuka>
""Unexpected action bug? My body is causing errors?"""
"優香はぶつぶつとつぶやきながら考え込んでいる。","","Yuuka was thinking and mumbling something."
"<優香>
『まぁ………心当たりがない、…わけではないかも。
　幻聴とか、聞こえることあるし。』","","<Yuuka>
""Well... It's not like I have no idea about it.
 I can hear these noises too..."""
"しばらく考え込んだのち、優香はそう口を開いた。","","After thinking for a while, Yuuka finally seemed to
understand what you said."
"<優香>
『気のせいだと思ってたけど……
　バグ技みたいなことしてた副作用ってことね。』","","<Yuuka>
""I thought it was just my imagination and passed off
 it as a some sort of bug in the system..."""
"<優香>
『…………分かった。ムカつくけど、
　アンタが言う通りあのレベル上げの方法をやめてあげる。』","","<Yuuka>
""...Okay. It pisses me off, but I'll stop with my
 leveling method like you asked."""
"<優香>
『はぁ…………せっかく攻略法見つけたと思ったんだけど。
　ま、今の時点でもかなりの高レベルだって自信はあるし。』","","<Yuuka>
""Sigh... Just as I thought I found the perfect way to
 clear the game. Well, I've grown pretty strong already
 and I might be able to do it anyway..."""
"<優香>
『アンタには負けたけど……ほんっとムカつく！
　ねぇ、何かアンタもいい方法見つけたんでしょ？
　教えてよ！』","","<Yuuka>
""But losing to you seriously pisses me off! Hey, did
 you find some other amazing way to level?
 Explain yourself!"""
"目を尖らせながら貴方に詰め寄る彼女に、
何も特別なことはしていないと貴方は伝えた。","","Yuuka pressed you to explain how you got so strong
with a sharp look, but all you could say was how
you weren't doing anything special."
"<優香>
『嘘。それじゃ、私が負けるわけないもん。』","","<Yuuka>
""That's a lie. Otherwise there's no way I could have
 lost."""
"まだ納得していない様子の彼女に、
今回はたまたまだと、貴方はそう伝える。","","Yuuka wasn't content with your answer, and you told
her how you won just by luck this time."
"<優香>
『……………………』","","<Yuuka>
""..."""
"<優香>
『ま、いいわ。そう言うことにしておいてあげる。
　私が油断してたのは事実だし。』","","<Yuuka>
""Fine. I'll leave it at that. It's not wrong that
 I let my guard down in our fight."""
"<優香>
『次はこうはいかないんだからね、
　首を洗って待ってなさい！』","","<Yuuka>
""But it won't happen again. Just wait until our next
 battle!"""
"優香は貴方を強きに睨みながらそう告げる。","","Yuuka declared she would beat you the next time with
an intense glare."
"……なんとなく、次が少し恐ろしいような気もするけど…
とにかく、彼女を止めることが出来てよかった。","","You felt a bit afraid of your next encounter, but
at any rate, you managed to stop her from absorbing
any more souls from people."
"貴方はそう安堵のため息を漏らした。","","You sighed in relief."
"<優香>
『はい、私の勝ちー♡
　ま、勝負じゃなくてただの憂さ晴らしだし♡』","","<Yuuka>
""And that marks it my win♡ Well, it wasn't a fight but
 just a little diversion to begin with♡"""
"<優香>
『これで、アンタも自分が喧嘩を売っちゃいけない相手に、
　偉そうにしてたって分かった？』","","<Yuuka>
""Have you realized how you tried preaching about right
 and wrong to a girl who you shouldn't pick a fight
 with?"""
"優香はにやにやと貴方を見下ろしながらそう勝ち誇る。
確かに、自分とは実力が違いすぎる……","","Yuuka declared her victory while looking down on you
with a grin. You've certainly understood the massive
gap between her and your strength."
"<優香>
『あはは♡たっぷり実感できたみたいね？
　じゃ、さっさと終わらせよっか♡』","","<Yuuka>
""Ahaha♡ Looks like you managed to understand that♡
 Then, let's get this over with♡"
"優香は貴方に顔を近づけ、再び唇を妖しく光らせ始める。","","Yuuka closed in on your face with her lips starting
to shine pink once more."
"<優香>
『何をって、決まってるでしょ？レベルドレイン♡
　ま、どうせアンタみたいな弱いやつじゃ、
　大した経験値にはならないと思うけど♡』","","<Yuuka>
""Get what over with? The level drain, of course♡
 Well, I doubt someone as weak as you has much EXP
 to take♡"""
"<優香>
『もらえるもんはもらっとかないとね。
　例え、アンタのゴミみたいな経験値でもさ♡』","","<Yuuka>
""But I'm going to drain everything I can♡ Even if its
 EXP barely worth anything from some trash like you♡"""
"とことん貴方を煽るような言葉を言いながら、
彼女は唇を妖しくピンクに光らせ、妖艶に舌なめずりをする。","","Yuuka sexily licked her shining pink lips while she
made fun of you."
"流石に、彼女の言葉に貴方の目つきは自然と鋭いものとなり、
彼女の顔を睨みつける。","","Her abuse was starting to be too much for you, and you
glared back at her."
"<優香>
『そんな怖い顔しても無駄♪
　アンタの経験値がしょっぱいなんて事実だし♡』","","<Yuuka>
""It's pointless to to make such a scary face♪
 It's a matter of fact that you barely have any
 EXP under your belt♡"""
"<優香>
『だって、ほら？
　ん～…………ちゅぅぅ♡』","","<Yuuka>
""Just see this? Mmmh... Smooch♡"""
"優香は唇を貴方の唇に押し付け、強く吸い付く。
甘い魔力の込められた唇に、貴方の思考はとろけていく。","","Yuuka pressed her lips against yours in a kiss.
Your mind dulled before her sweet charm infused lips."
"<優香>
『ちゅぅぅ♡
　ちゅっ♡ちゅっ♡』","","<Yuuka>
""Smooch♡ Smooch♡ Smooch♡"""
"そんな貴方の反応に優香は目を細めながら、
さらに魔力を塗り込むように何度も唇を押し付ける。","","Yuuka smirked as your face began to get sloppy and
continued kissing you more and more to work her charm
into you."
"<優香>
『ちゅっ♡こんな簡単に、
　キスだけで黙らせられる相手からの経験値なんて、
　たかが知れてるに決まってるじゃん♡』","","<Yuuka>
""Smooch♡ You can't be anyone strong or important when
 it's this easy to shut you up with kisses♡"""
"優香は唇を放すと、勝ち誇るように貴方の目の前で笑う。
そんな屈辱的な言葉を投げかけられても、
貴方は焦点に会わない目で見つめることしかできない。","","Yuuka broke her kiss and looked straight into your
eyes with a grin. Even when she humiliated you like
that, all you could look back at her with your
unfocused eyes."
"<優香>
『ま、安心してよ。
　ゴミみたいな経験値でも、
　私がちゃんと使ってあげるからさ♡』","","<Yuuka>
""Well, there's nothing for you to worry about. Even if
 it's EXP from a trash like you, I'll make good use of
 it♡"""
"<優香>
『ほら、ほら♡
　キスだけで吸い出してあげる♡ちゅっ♡』","","<Yuuka>
""Here♡ I'll drain out all that EXP with just kisses♡
 Smooch♡"""
"<優香>
『くそザコのアンタが我慢しても意味ないんだから、
　さっさと経験値よこしなさいよね♡ちゅぅぅ♡』","","<Yuuka>
""It's pointless for a weak-ass like you to resist♡
 Hurry up and hand over your levels♡ Smooch♡"""
"彼女は甘い魔力の乗った唇で、
貴方の唇を制圧する様に激しく吸い付き、とろけさせる。","","Yuuka seized the control of your lips with with the
mana-clad pair of her own, and melted your mind in her
intense kiss."
"それでも、大切な自分の経験値を、
ゴミ呼ばわりする彼女にだけはささげたくない。","","But even when it felt so good, you didn't want to give
her any of your precious levels or EXP when she called
them as good as trash."
"そんなぼんやりとした思いを奮い立たせて、
何とかPvPのペナルティが終わるまで堪えようとする。","","That thought popped into your mind and gave you a
second wind of resistance. You sought to hold down
your orgasm until the PVP penalty time was over."
"<優香>
『ちゅっ♡
　必死に手のひら握りしめて、
　もしかして耐えようとか思ってるわけ？』","","<Yuuka>
""Smooch♡ You're gripping your fist so hard♡ Are you
 thinking of enduring through my kisses or something?"""
"<優香>
『さっき私の唇になすすべもなく負けたくせに、
　まだアンタじゃ私には勝てないって理解できないの？
　ほんと、救いようのない馬鹿ね♡』","","<Yuuka>
""You still haven't realized how you can't win against
 my lips? Even after losing to them once? You're such
 a dumb fool♡"""
"<優香>
『自分のプライド守るのがそんなに大事なんでちゅかぁ？
　それなら、まず弱い自分を何とかしなさいよ♡ちゅぅぅ♡』","","<Yuuka>
""Is protecting your pride that important to you?
 If that's the case, then you should start with doing
 something about being such a weak-ass first♡"""
"優香は貴方の抵抗を溶かすように、
甘い魔力の乗った唇で貴方の舌先を吸い、
れろれろと自身の舌先を絡ませる。","","Yuuka sucked your tongue inside her mouth and between
her charm infused lips and ran her own tongue around
it to melt away your resistance."
"<優香>
『アンタがこんな目に合ってるのも、
　キスだけで負けちゃうくそザコおちんぽだから♡』","","<Yuuka>
""All of this happened just because your dick is so weak
 that you shoot prematurely just from making out with a
 girl♡"""
"<優香>
『悔しくていやだと思うなら、
　アンタもなりふり構わずレベルを上げることね♡』","","<Yuuka>
""If that annoys and frustrates you, then you should
 start leveling like me without any care of others♡"""
"<優香>
『ま、それでも私には勝てないだろうけど♡
　ちゅぅぅ♡ちゅっ♡』","","<Yuuka>
""Well, even if you did that, you still wouldn't have a
 chance to beat me, though♡ Smooch♡ Smooch♡"""
"優香は小ばかにしたような声でそう助言をしながら、
貴方の弱さを教えるようにキスだけで追い詰めていく。","","Yuuka continued to corner you with just kisses,
emphasizing the point on you being weak. She also gave
you advice, but it only seemed to be just to poke fun
of you."
"プルンとしたピンク色の唇に啄まれるたび、
貴方の脳は快楽に焦がされていき、全身から力が抜けていく。","","Strength was escaping your body and your mind burning
from pleasure with every peck from her glossy pink
lips."
"<優香>
『ほら、もうおちんぽからお汁が出てきた♡
　大事なレベル、キスだけでもう吸い出されちゃう♡』","","<Yuuka>
""Look♡ Your dick is already leaking precum♡
 You're going to lose your precious levels to
 simply making out with a girl♡"""
"<優香>
『偉そうに説教した相手に、
　反対に説教されながら負けを認めさせられちゃう♡』","","<Yuuka>
""The girl who you preached to is going to show you your
 place and make you admit defeat♡"""
"<優香>
『あはは♡
　ほんと、弱いやつってかわいそうよね♡ちゅぅぅ♡』","","<Yuuka>
""Ahaha♡ Weak guys are just so pitiful♡ Smooch♡"""
"自身の方が圧倒的に強いと、
優香はそう勝ち誇る様に激しいキスで貴方の舌を絡めとり、
口内を自分の舌で舐めまわす。","","Yuuka asserted her overwhelming dominance by giving you
intense kiss where she pushed her tongue deep into your
mouth and coiled it around your own."
"優香が柔らかく唇を落とすたびに、
貴方はびくびくと体を震わせてしまう。","","With her being in complete control of your mouth, your
body quivered all over."
"<優香>
『んっ♡もう気持ちよくて反論も、我慢もできない？
　なっさけない男♡もう私のキスにギブなんだ？』","","<Yuuka>
""Mmh♡ Is it so amazing that you can neither object or
 resist any more? You're such a shameless guy♡
 Have you given in to my kisses already?"""
"そんな貴方の限界に目ざとく気が付いた彼女は、
唇を放し、煽る様に至近距離から見つめる。","","Yuuka saw how your limit was approaching and broke off
the kiss just to closely watch and tease you."
"<優香>
『ま、強さが違いすぎるししょうがないよね♡
　このまま、さっさと吸い出してあげる♡』","","<Yuuka>
""Well, there's not much you can do with our massive 
 power gap, so I'm just going to go ahead and drain
 your levels with my lips♡"""
"<優香>
『ほら、出せ♡出せ♡
　くそザコおちんぽからゴミ経験値、だせ♡
　ちゅぅぅ♡』","","<Yuuka>
""Now♡ Give it to me♡ Give me your worthless EXP
 from your worthless dick♡ Smooch♡"""
"\C[18]EXP\v[20]\C[0]を失った！
レベル\v[5]→\C[18]レベル\v[6]","","Lost \C[18]\v[20]EXP\C[0]!
Level \v[5]→\C[18]Level \v[6]"
"貴方は彼女のキスに吸い出されるように、
肉棒からレベルの詰まった精液を放出してしまう。","","As if pushed out by Yuuka's kiss, your semen packed
with experience shot out from your penis.
"
"<優香>
『うわ、ほんとにゴミみたい♡
　私の経験値ポイントほとんど動いてないんだけど』","","<Yuuka>
""Woah♡ It's seriously worthless trash♡
 My EXP barely changed from that♡"""
"貴方の経験値を吸い取った優香は自分の経験値を確認して、
嘲りの視線で貴方を見つめる。","","Yuuka checked out her experience points after draining
a level and then looked at you in sneer."
"その言葉に、こんな女相手に経験値を搾り取られた、
という屈辱に貴方は支配される。","","The way she treated your level made you feel absolutely
humiliated and you can't believe you lost to someone as
bitchy as her."
"<優香>
『ま、ちりも積もれば、ってね♡
　質がダメなら、量で補うだけ♡』","","<Yuuka>
""Well, I guess it's still something♡ Since you don't
 have the quality, you gotta make it up with
 quantity♡"""
"<優香>
『ほら、まだペナルティタイムは終わってないでしょ？
　もう1回くらい経験値吸い出してあげる♡ちゅぅぅ♡』","","<Yuuka>
""Hey♡ The penalty time isn't over yet♡ I can still
 drain another shot of EXP from you♡ Smooch♡"""
"優香は再び唇を妖しくピンク色に光らせると、
そのままちゅぅっと貴方の唇に押しつけ、吸い付く。","","Yuuka's lips dyed in pink light again, and then she
pressed them down on yours."
"唇が押し付けられた瞬間、後悔と屈辱は快楽に塗り替えられ、
貴方は再び肉棒を跳ねさせてしまう。","","The moment your lips made contact, your feelings of
humiliation were completely washed away by pleasure
and your penis shot up in another erection."
"<優香>
『ちゅっ♡
　ほんと、弱いおちんぽ♡こんなキスだけで、
　感じちゃダメだって分かってても耐えられないんだから♡』","","<Yuuka>
""Smooch♡ Your dick is seriously so weak♡ You're aware
 that you shouldn't be getting off from kisses this
 badly, but there's nothing you can do about it♡"""
"<優香>
『ほらほらぁ♡
　手加減なんてしてあげないから。
　また無様に、キスでレベル吸われろ♡ざぁこ♡ちゅぅぅ♡』","","<Yuuka>
""Hey♡ I'll go all out♡ So hurry up and shamefully
 lose another level to my kisses again♡ You weak-ass♡
 Smooch♡"""
"強く貴方の舌に吸い付き、甘い魔力を塗り込むように、
彼女は何度も柔らかい唇を貴方の唇に押し付ける。","","Yuuka rained down kiss after kiss on your lips while
sucking on your tongue and working her sweet charm
magic into you."
"チャームの魔力がキスで貴方に浸透するたびに、
身体には電流のような快感が流れ、貴方の身体は痙攣する。","","Every charm kiss was accompanied by an electric shock
of pleasure running across your whole body that made
you tremble."
"<優香>
『ぷっ♡
　みっともなく震えて♡
　経験値吸われるのがそんなに気持ちいいんでちゅね♡』","","<Yuuka>
""Pfft♡ You're trembling all over♡ Does it feel that
 amazing when I'm level draining you?"""
"<優香>
『アンタが必死に耐えて守ろうとする経験値なんて、
　私から見たらゴミみたいなもの♡』","","<Yuuka>
""All that EXP you're desperately trying to protect
 is nothing more than trash from my point of view♡"""
"<優香>
『散々そうやって馬鹿にされてるのに、
　もう我慢できないんだ♡
　くそザコおちんぽの負・け♡』","","<Yuuka>
""Even when I'm making a total fun of you like this,
 you still can't endure♡ Your weak baby dick is going
 to lose♡"""
"<優香>
『悔しさに震えながら、惨めさを噛みしめながら♡
　ゴミ精子ぶちまけろ♡ばぁか♡ちゅぅぅ♡』","","<Yuuka>
""Now that you're trembling from frustration♡
 And trying to cope with the shame♡
 Shoot your worthless trash cum♡ Smooch♡"""
"優香は貴方を追い詰めるように、口内の奥まで舌をねじ込み、
かき回しながら強く唇で吸い上げる。","","Yuuka locked you in a tight kiss and pushed her tongue
all the way to the back of your throat to lick all over
your mouth and drive you to the corner."
"その激しい彼女のキスにいよいよ貴方の我慢は決壊し、
腰を浮かせてしまう。","","The kiss was so intense that it shattered all the
resistance and made you had thrust out your hips."
"<優香>
『ちゅぱっ♡
　ほら、吸い出してあげるから……イけ♡
　キスに負けて、経験値を私に捧げろ♡ちゅぅぅ♡』","","<Yuuka>
""Smooch♡ Hey♡ I'll suck it all out, so cum♡
 Cum from my kiss and offer your EXP to me♡
 Smooch♡"""
"<優香>
『ちゅぅぅ♡ちゅぱっ♡
　また経験値もらっちゃった♡
　ま、やっぱりゴミみたいな量だけど♡』","","<Yuuka>
""Smooch♡ Smooch♡ And that's another load of EXP♡
 Well, the quality is the same trash as before,
 though♡"""
"優香が唇を放し、貴方に勝ち誇った瞬間、
不自然な体の不自由さは消える。","","Yuuka released you from the kiss, and that's when the
unnatural powerlessness eased on your body."
"しかし、吸い尽くされた快楽に、
貴方はその場から動けない。","","However, the pleasure from Yuuka's level draining had
been so intense that you still needed some time to
recover."
"<優香>
『そろそろ私も狩場の移し時かな
　じゃ、私はさっさと先に進んでるね～♡』","","<Yuuka>
""Well, I guess it's about time I changed hunting
 ground♡ See ya♡"""
"優香は動けない貴方に向かって投げキッスをすると、
その場を去っていった。","","Yuuka left you behind on the ground after blowing you
a kiss."
"『うぅ………すまん、あんたは俺を助けてくれたのに、
　俺は助けられなくて…………』","","""Uuuh... I'm sorry... You came to save me...
 But it caused you so much trouble..."""
"モンスターにやられていた男性が、うめくようにそう呟く。","","The man who lost to the imp groaned."
"彼女に敗北したところを見られていた、
そう意識すると、貴方に羞恥が湧き上がる。","","Hearing his voice made you realize how he must have
seen your humiliating defeat to that girl. You were
overcome with feeling of shame."
"『その、元気出してくれ。
　俺はあんたのおかげで助かったんだからさ……』","","""Um... Please cheer up... It's thanks to your help
 that I'm still okay..."""
"『これは、せめてものお礼だ……。
　じゃ、じゃあな？
　あんたも、モンスターに負けないよう気を付けろよ……』","","""Please take this... I-I'll be going then...
 Be careful not to lose to monsters like me..."""
"貴方の気まずさを知ってか、
男性は戸惑いがちに貴方に1000Gを渡すと、
その場を去っていった……","","The man realized how you were feeling awkward over the
whole situation. He handed you 1000G before leaving."
"<アル>
『大丈夫？もう動ける？』","","<Al>
""\n[1], are you okay? Can you move?"""
"しばらくしてアルがそう貴方に声をかける。","","Al called to you after a short while."
"心配げなアルに、貴方は肯定の返事を返した。","","You replied that you were okay to Al's worries."
"<アル>
『よかった……。それにしても、
　あの子、すごく強かったね…』","","<Al>
""Thank goodness... At any rate, that girl was terribly
 strong."""
"次こそ彼女を止めて見せる","","I'll get her next time"
"自分は間違っていたのだろうか","","Was it a mistake?"
"<アル>
『そう、だね……。
　彼女のためにも、そのほうがいいと思う。』","","<Al>
""Yes... I think it'll be good for her sake too."""
"<アル>
『あ、うんとね？
　彼女、いっきに他の人の魂を取り込みすぎて、
　精神にちょっとノイズが走ってるみたい。』","","<Al>
""Ah, how to put it... She's been absorbing so big parts
 of other people's souls all at once that her soul is
 starting to make noise."""
"<アル>
『彼女は、思いっきりその危険にさらされてるんだよ！
　だから、彼女のためにも早く止めなきゃなんだけど……』","","<Al>
""She's absorbing them as a whole! That's why we need
 to quickly stop her for her own sake too."""
"<アル>
『\n[1]、あの子に、勝てる…………？』","","<Al>
""\n[1], can you stop that her?"""
"<アル>
『だよね……。
　\n[1]、無理はしないでね？』","","<Al>
""Yes... You don't know if you can do it...
 \n[1], all I want is that you don't push
 yourself too hard, okay?"""
"アルの気遣うような声に、貴方は頷く。","","You nodded to Al as she worried after you."
"<アル>
『うん！無理はしないのが一番！
　なんでもかんでも、\n[1]が背負う必要はないからね！』","","<Al>
""Yes! Safe and steady is the best! There's no need
 for you to take any and every burden after all!"""
"<アル>
『できる範囲でやっていこう！おー！！』","","<Al>
""Let's do just whatever we can! Oooh!"""
"アルは気合を入れるように手を大きく伸ばす。","","Al raised her fist in good spirits."
"<アル>
『ううん！\n[1]は間違ってなんかない！』","","<Al>
""No! \n[1], you didn't make a mistake!"""
"<アル>
『少なくとも、私はあの子みたいな考え方より、
　\n[1]の優しい考え方のほうが好きだよ！』","","<Al>
""At the very last, I like the gentle way you think
 over that girl's way of thinking!"""
"アルはそう貴方を励ます。","","Al cheered you up like that."
"<アル>
『ただ…\n[1]が、それで苦しい思いをするのは嫌だから
　……無理せず、できることを進めていこう？』","","<Al>
""However... I don't want you to have a difficult time
 like that... So let's continue without pushing
 yourself, okay?"""
"<アル>
『大丈夫、私は\n[1]の味方だよ！』","","<Al>
""Everything will be okay! I'll be on your side,
 \n[1]!"""
"そう元気よく告げるアルに、貴方は感謝を伝える。","","You said thanks to Al when she declared that
energetically."
"<アル>
『えへへ♪どういたしまして♪』","","<Al>
""Ehehe♪ You're welcome♪"""
"<小悪魔B>
『ふふ、助けに来たはずなのに……
　自分まで負けちゃうなんてカッコ悪いわね♡』","","<Imp B>
""Ahaha. You came to help this man...  But you ended up
 joining him as my prey. How lame♡"""
"<小悪魔B>
『それじゃあ、最初は貴方から搾りつくして…………』","","<Imp B>
""Well then, I'm going to start with you..."""
"小悪魔が貴方の肉棒を乳房で捕らえようとしたその時、
突然奥の箱から人が飛び出し、小悪魔に切りかかる。","","The moment the imp was about to stick your penis
between her breasts, someone popped out from the box
behind her and cut her down."
"<小悪魔B>
『うぐ…………そんな、もう1人いたなんて…………』","","<Imp B>
""Ugh... Where did you come from..."""
"小悪魔は現れた人影に切り裂かれ、姿を消した。","","The imp disappeared as the mysterious person cut her."
"<???>
『ふんふ～ん♪
　人が来た時にはちょっと焦ったけど……
　アンタがこんなザコにも勝てない弱い奴でよかった♪』","","<???>
""Mmm-mmh♪ I was a bit worried when you arrived, but
 thankfully you're so weak that you can't even beat
 an imp♪"""
"<???>
『一気に2人だなんて大量じゃん♪』","","<???>
""My catch increase from one to two♪"""
"小悪魔を倒した人影は、貴方を嘲りながら見下ろす。","","The girl who cut down the imp grinned and looked down
on you."
"助けてくれた……
そのような雰囲気は感じない","","You can't feel any intention of saving you from the
her."
"<???>
『ぷっ、弱いくせにそんな警戒しないでよ♡
　どうせアンタはここで終わりなんだし♪』","","<???>
""Pfft. It's pointless to look at me cautiously when
 you're that weak♡ You're going to lose right here
 right now anyway♪"""
"彼女は貴方に顔を近づけると、至近距離でじっと見つめる。","","The girl grabbed your face and looked closely at you."
"<???>
『アンタはここで私にすべてを吸い尽くされて終わるの♡
　アンタのレベル、全部よこしなさい♡ちゅぅぅ♡』","","<???>
""You're going to lose as I drain everything from
 you♡ Hand over all your levels to me♡ Smooch♡"""
"動けない貴方に、
彼女は無理やり自分の柔らかな唇を押しつける。","","You couldn't move at all as the girl forced her soft
lips on you."
"<???>
『ん？私はプレイヤーじゃないのかって？
　見て分かんないの？私だってれっきとしたプレイヤー。』","","<???>
""Hmm? Am I player? Can't you tell? Yes, I'm a player
 in this game just like you."""
"<???>
『なら、プレイヤー同士のレベルドレインには制限がある？
　全部吸い尽くすことなんてできないはず？』","","<???>
""Huh? There's limit to level drain between players?
 I can't drain all your levels because of that?"""
"<???>
『あはは♡これだからお馬鹿さんは、ってね♡
　アンタさ、なんでわざわざ私が隠れて、
　様子をうかがってたと思ってるわけ？』","","<???>
""Ahaha♡ That's what makes you so stupid♡ Do you have
 any idea why I hid in that box and waited for you to
 lose to the imp?"""
"にやにやと嗜虐的な笑みを見せながら、
彼女は貴方にそう問いかける。","","The girl asked you that while looking at you in
sadistic grin."
"<???>
『ま、馬鹿が考えたって天才の考えは理解できないか♡
　いいよ、ゲームオーバーの土産に教えてあげる。』","","<???>
""Well, I guess stupid wouldn't understand a genius♡
 Fine, I'll tell you as your game over present."""
"<???>
『確かに、プレイヤー同士の戦いじゃ、
　レベルドレインに制限があるわ♡
　これはアンタの言った通りね。』","","<???>
""You're right in that there's a limit on how many
 levels players can drain from each other."""
"<???>
『でも逆に、プレイヤーでなければそんな制限はない。
　例えば、モンスターに負けたとき、とかさ♡』","","<???>
""But if you think it from another view, there's no
 such limit if the draining is not between players.
 For example, when you lose to a monster♡"""
"<???>
『だから、プレイヤーがモンスターに負けた瞬間、
　そのモンスターを倒してやれば…………』","","<???>
""That's why if you defeat a monster right after it has
 defeated another player..."""
"<???>
『経験値を丸ごと、横取りできるってわけ♡
　どう？これが私の考えた効率のいいレベルのあげ方♡』","","<???>
""There's no limit to the level drain anymore♡
 What do you think of my special leveling method?"""
"<???>
『つまり、
　アンタはここで私にすべてのレベルを吸い尽くされて、
　ゲームオーバーってこと♡』』","","<???>
""In other words, I'm going to drain every single level
 from you and give you game over♡"""
"<???>
『ま、最後に気持ちよくしてあげるからさ。
　現実に戻ってもオカズにしてオナってなよ♡
　ん～…………ちゅぅぅ♡』","","<???>
""I'm going to send you off in an amazing pleasure...
 So make sure to use it as fap material even after you
 return to the real world♡ Smooch♡"""
"彼女は再び、柔らかな唇を貴方に押し付ける。
貴方の唇を自分の唇でなぞるように動かしながら、
貴方の興奮を高めていく。","","The girl pressed her lips on yours again. The way she
was gently picking on your lips was turning you on."
"<???>
『うわ、軽くキスしただけでもう勃起してんじゃん♡
　さすが、あんな雑魚モンスターに負けるだけはあるね♡』","","<???>
""Woah♡ You got a full boner from few kisses♡
 I guess I shouldn't expect anything more from
 some weak-ass who can't even beat an imp♡"""
"ちゅっちゅっと貴方の唇をついばみながら、
彼女は目を細めて貴方の股間を見つめる。","","The girl looked at your bulging crotch in a grin
while pecking your lips."
"簡単に勃起してしまった自分の情けなさに、
貴方は彼女に反論することが出来なかった。","","You felt so ashamed for getting an erection this easily
that you couldn't come to say anything back to the
girl."
"<優香>
『高木優香、
　それがアンタをゲームオーバーにしちゃう女の名前ね♡
　名前くらい知っとかないと、思い出すときに困るでしょ♡』","","<Yuuka>
""Tagaki Yuuka♡ That's the name of the girl who ends
 your game♡ You want to at least know my name for the
 times when you recall my amazing kisses, right?"""
"<優香>
『忘れられない思い出にしてあげるからさ♡
　恨まないでよ♡ちゅぅぅ♡』","","<Yuuka>
""I promise to give you an unforgettable experience♡
 So don't resent me for ending your game♡ Smooch♡"""
"優香は貴方の舌先を唇で柔らかく挟み、
ちゅっと強く吸い上げる。","","Yuuka picked your tongue between her lips and sucked
it into her mouth."
"甘い女性の唇に舌を吸われ、
どうしようもなくむずむずとした快感に、
腰がもぞもぞと動いてしまう。","","The pleasure when she sweetly sucked on your tongue
was so itchy that you couldn't help thrusting your
hips back and forth."
"<優香>
『ぷっ♡腰そんなに動かしちゃってさ♡
　おちんぽ触ってほしいの？』","","<Yuuka>
""Pfft♡ What's with those thrusts?
 Do you want me to touch your dick?"""
"そんな貴方の反応を嘲りながら優香は見つめ、
そう問いかける。","","Yuuka laughed and asked that when she saw your pelvic
thrusts."
"<優香>
『でもだめー♡
　ザコに負けるくらいのくそザコおちんぽはキスだけで充分♡
　触らずにキスだけで全部搾っちゃうから♡ちゅぅぅ♡』","","<Yuuka>
""But I won't♡ Kisses should be enough for some
 weak-ass who can't even beat an imp♡ I'm going to
 drain you hands-free with my kisses♡ Smooch♡"""
"優香は貴方の反応を待つことなく、
口をふさぐように強く自身の唇を押し付ける。","","Yuuka didn't give you even a chance to reply before
she laid her lips tightly around yours."
"貴方の口内に舌をねじ込み、
逃げようとする貴方の舌を絡めとるように深いキスを行う。","","She plunged her tongue deep into your mouth after
yours to lock you in a deep tongue kiss."
"そのキスの快感に、
貴方の意識は朦朧とし、切なげに腰が動いてしまう。","","The kiss felt so amazing that your consciousness
started getting hazy and your pelvic thrusts only
got faster."
"<優香>
『ん～……ぷはぁ♡
　どう？私のキス。もう頭の中トロトロになっちゃった？』","","<Yuuka>
""Mmmh... Phew♡ How do you like my kisses?
 Has your mind fallen into total daze already?"""
"しばらくお互いの舌を絡め合うようなキスを続けた後、
優香はとろんとした貴方の顔を笑いながら見つめる。","","After releasing you from the long and deep kiss, Yuuka
took a moment to take a look and gring at your sloppy
face."
