"小悪魔A","Imp A"
"<可憐>
『足なんかよりずっと匂うと思うよ？
　さすがに変態の\n[1]君でも、それは嫌でしょ♪』","<Karen>
""My shoes should smell way worse than my feet♪
 I'm sure that even a pervert like you will feel
 repulsed to sniff them, \n[1]♪"""
"<可憐>
『それとも、
　そんなことまでご褒美になっちゃったりする？
　女の子が履いてた濃い匂いの靴で強制シコシコ♡』","<Karen>
""Or perhaps you're such a terrible pervert that even
 my shoes will get you off? How does that sound?
 Fapping to a girl's smelly shoe?"""
"足の指を舐めさせられながら、
貴方は、身体の一部ですらないただの靴で、
オナニーを強いられる、そんな罰を想像して身震いする。","While licking Karen's toes, you listened to what Karen
said about the punishment, and just the idea of
needing to masturbate to her shoe made you tremble with
disgust."
"<可憐>
『くす♪さすがにそれは、変態な\n[1]君でも嫌なんだ♡
　それじゃ、このまま足舐めオナニーでイっちゃわないよう、
　ちゃんとイきそうになったら手を止めなきゃね♪』","<Karen>
""Ahaha♡ It looks like fapping to a girl's shoe is too
 much even for a pervert like you♡ Then, make sure to
 stop your hands when you're close to orgasm♡"""
"<可憐>
『でも、こんな機会はめったにないだろうし、
　しっかり限界まで味わわなきゃ損♪ちゃんと、
　自分のおちんぽの限界を見極めて、管理するんだよ♪』","<Karen>
""However, I doubt you'll get another chance to fap and 
 lick a girl's foot like this, so you should enjoy it
 to its fullest♪ Just don't get too into it and cum♪"""
"くすくすと見下ろす可憐に興奮を煽られながら、
貴方は足の指に舌がめちゃくちゃに弄ばれる快楽に溺れ、
夢中でシコシコと肉棒を上下に扱き続ける。","Karen teasingly said that while you were lost in the 
pleasures of making out with her toes and firmly 
stroking yourself."
"可愛い女の子にも見下ろされ、足を舐めさせる、
そんな非現実的な状況に理性は焦げ付き、
すぐに快感に追い詰められて肉棒からは我慢汁があふれ出す。","Such a cute girl was looking down on you and making 
you lick her foot. Such a surreal situation burned
away your reason and made your precum start flowing."
"<可憐>
『あ、ぐちゅぐちゅ音が聞こえるってことは、
　もう我慢汁出てきちゃったんだ♪』","<Karen>
""Ah♡ I can hear wet sounds♪ Looks like your precum
 started leaking already♡"""
"<可憐>
『ねぇ\n[1]君、我慢汁って、
　もうすぐおちんぽイっちゃいそうって証なんだよね♪
　そろそろ手、止めたほうがいいんじゃないかな♡』","<Karen>
""Hey, \n[1]♪ Precum is a sign that your
 penis is near orgasm, right? Shouldn't you start
 slowing down now?"""
"可憐は貴方の口の中を足の指でかき混ぜながら、
そうアドバイスを送る。それでも、
貴方自身もそろそろ止めなければいけないと思っていても、
快楽に夢中で手を止めることが出来ない。","Karen advised you to slow down while wriggling her toes
around in your mouth. You shared the notion, but your
hands wouldn't stop in your pleasure daze."
"<可憐>
『手も止めないってことは、まだ我慢できるんだ？
　すごいね♪その調子で頑張れ♡
　ほら、もっと足の指とキスさせてあげるから♪』","<Karen>
""Does it mean you still have leeway before the orgasm
 since you aren't slowing down? Wow♪ You're so strong♡
 Then, here's even more toe kissing for you♪"""
"可憐は貴方の唾液でべとべとの足の指で、
舌とキスをさせるように動かして貴方の理性を焦がす。
あたりにはぐちゅぐちゅと我慢汁が立てる音が響き、
肉棒には快感が着実に蓄積されていく。","Karen moved about her saliva-covered toes in a pseudo 
French kiss inside your mouth, breaking your reason 
even further. The pleasure steadily accumulated in
your penis along your louder and wetter strokes."
"<可憐>
『どんどん手の動きが早くなってきてる♪
　そんなに激しくシコシコして、ほんとに我慢できるの？』","<Karen>
""Your strokes keep getting faster♪ Can you really last
 if you go that hard?"""
"<可憐>
『私に足舐めさせられながら、
　このまま負け犬オナニーで、
　ぴゅっぴゅって精液出しちゃうんじゃないかな♡』","<Karen>
""Won't you cum like a total loser while licking my foot
 if you keep that up?"""
"貴方は可憐の言葉を否定するように弱々しく首を振るも、
オナニーの快感は貴方の肉棒を追い詰め、
今にもイきそうで腰が震えてしまう。","You weakly shook your head at Karen's question, but
your hands continued pleasuring your penis even as
you denied it. Then, your hips began trembling so hard 
it wouldn't be weird for you to orgasm any moment now."
"<可憐>
『ふふ♡もう我慢なんてできそうもないね♪
　でも、足を舐めさせられながらのオナニーが気持ちよくて
　手を止めることもできないんでしょ？』","<Karen>
""Ehehe♡ It looks like your dick is at the limit♪
 But you can't stop when it feels so amazing to fap
 while I'm making you lick my foot, right?"""
"<可憐>
『\n[1]君はマゾだもん、仕方ないよ♪
　それじゃあこのまま、女の子の足を舐めながら、
　おちんぽイっちゃえ♡』","<Karen>
""\n[1], you're a masochist, so there's no
 avoiding it♪ Go ahead and cum while sucking on my
 toes♡"""
"\C[18]EXP\v[20]\C[0]を失った！
レベル\v[5]→\C[18]レベル\v[6]","You lost \C[18]\v[20] EXP\C[0]!
Level \v[5]→\C[18]Level \v[6]"
"貴方は射精するのと同時に、
彼女に力を吸い取られるような感覚を覚える。","Along with the orgasm, you felt a part of your power
transferring to Karen."
"<可憐>
『あれ？これってもしかしてレベルドレイン？
　………ん～、なんでだろ。』","<Karen>
""Eh? Wait... Was that a level drain just now?
 How did that happen?"""
"可憐の方も、自分に流れ込む力に首を傾げている。
どうやら彼女にとっても予想外のことだったようだ。","The level drain made Karen tilt her head in confusion.
It seemed like she hadn't expected it to happen either."
"<可憐>
『\n[1]君が心から私に屈しちゃったから、とか？
　まぁでも、せっかくだし、
　もらえるものはもらっておこうかな♪』","<Karen>
""Maybe it happened because you submitted to me from
 the bottom of your heart or something? At any rate,
 I'm not going to say no to this EXP♪"""
"<可憐>
『さて、と♪それじゃあ、
　オナニーでイっちゃった\n[1]君には約束通り罰ゲーム♡
　私の靴でシコシコしちゃおうね♪』","<Karen>
""But let's leave that aside because it's time for the
 punishment game♡ \n[1], you cummed, so
 you need to fap while sniffing my shoe♪"""
"そう言いながら、可憐は脱いだ靴を貴方に手渡してくる。","Karen announced how you have to face the punishment
game and handed you her shoe."
"<可憐>
『え？レベルドレインはきいてない？
　またオナニーで、
　レベルドレインが起きちゃうかもしれないから嫌だ？』","<Karen>
""Eh? You didn't expect the level drain to happen?
 And now you don't want to do the punishment game
 since it might happen again?"""
"<可憐>
『ん～、確かに、
　こんな序盤にレベルを失っちゃうのは嫌だよね。
　でも、罰は受けてもらうって言ってたし………』","Karen
""Hmm... Yes, it might be pretty bad if you lost any 
 more levels this early on...... But we already 
 decided on the punishment games..."""
"<可憐>
『ん♪それじゃあ\n[1]君にもう一度チャンスを上げる♪
　レベルドレインも、
　靴なんかでオナニーさせられちゃうのも嫌なんだよね？』","Karen
""Then, \n[1], I'll present you one more
 chance♪ You neither want to get level drained nor
 fap with my shoe, right?"""
"<可憐>
『それなら、それを私に証明して見せて♪
　私の靴の匂いを嗅いでも、
　おちんぽ勃起しなかったら罰ゲームはなしにしてあげる♪』","Karen
""You need to prove to me that you don't want it♪
 I'll call off the punishment if your dick doesn't
 get hard when you sniff my shoe♪"""
"可憐はそう言いながら、ニコニコと貴方を見つめる。
貴方は、心を落ち着かせ、大丈夫だと念じながら、
ゆっくりと手に取った彼女の靴を自分の顔に近づける。","Karen looked at you with a grin as she said that. 
After taking a deep breath to clear your mind, you
prayed that you wouldn't get a hard-on as slowly
brought her shoe to your face."
"<可憐>
『ほら、これがさっき\n[1]君が我慢できなかった、
　私の足の匂いだよ。汗とか混じってて恥ずかしいけど…
　たくさん吸って、興奮しちゃえ♡変態♡』","Karen
""It smells the same as the foot you cummed off to just 
 now♡ It's a bit embarrassing to have someone sniff my 
 smelly shoe, but take it in and get hard, you perv♡"""
"可憐は貴方の耳元で唇を動かし、
そう囁きながら靴の中の香りを貴方に嗅がせる。
かすかな女性らしい甘さが混じった鼻をつく濃厚な香りが、
貴方の鼻腔を通じて脳にしみこんでいく。","Karen whispered by your ear just as you moved the
opening of her shoe to your nose. Then your brain
was struck by a faint sweet and womanly fragrance
mixed with a thick stink of sweat."
"<可憐>
『……ふふ♡\n[1]君？
　私の靴の匂いで、おちんぽ簡単に勃起しちゃったね♪
　嫌じゃなかったんだ♡』","Karen
""...Ahaha♡ \n[1]? You popped an instant
 boner after sniffing my shoe♪ It looks like you
 aren't so against the idea after all♡"""
"濃厚なフェロモンすら感じる匂いに思考が飛んでいた貴方は、
可憐の言葉にはっと自身の股間を見下ろす。
そして、自分の肉棒が、
ガチガチに勃起していることを意識してしまう。","The thick, pheromonous scent was so strong your mind
blanked out momentarily. Then, as Karen woke you from
the daze, you looked down at your crotch. There you
found your penis in full erection."
"<可憐>
『これは違う、なんて首を振ってもだめ♪
　自分は女の子の靴の匂いで興奮しちゃう変態だって、
　おちんぽで証明しちゃったんだもん♡』","Karen
""You can't deny it now♪ Your dick proved that you're
 a pervert who gets off from sniffing girls smelly
 shoes♡"""
"<可憐>
『それじゃあ、ほら、
　その靴の匂いめいいっぱい嗅いでいいから、
　私の目の前でおちんぽシコシコして？』","Karen
""Now♡ You can sniff my shoe all you want♡ So why
 don't you do that and masturbate in front of me?"""
"ニコニコと笑顔のまま、
可憐は貴方にそう言葉を告げる。
それでも貴方は躊躇し、
なかなか肉棒に添えた手を動かすことが出来ない。","Karen told you to masturbate and sniff her shoe with a
wide grin. But even when you got her permission, you 
hesitated, and your hand remained frozen around your 
penis."
"<可憐>
『ほら、何してるの？いい加減諦めて♪
　私の靴の匂いで、シコシコしろ♡マゾ♡』","<Karen>
""What are you waiting for? Get started already♪
 Fap to my smelly shoe, you masochistic♡"""
"可憐は貴方の靴を持っている手の上から自分の手を添え、
無理やり貴方の鼻に強く押し付けて匂いを吸わせながら、
そう強い言葉でオナニーを強制する。","Karen grabbed your hand with her shoe and ordered you 
to masturbate while shoving your nose deep inside her
shoe."
"貴方は靴の中で充満する女の子の足の匂いに焦がされ、
甘いソプラノボイスによる可憐の命令に従うように、
肉棒を手のひらで握りしめてオナニーを始めてしまう。","When your nose was buried in Karen's shoe and her foot
smell fully covered your nostrils, you couldn't help
obeying her sweet chime-like voice and began 
masturbating."
"<可憐>
『くす♪罰なんだからちゃんと自分でしないとね♪　
　一度シコシコ始めちゃったら、ダメだって思っても、
　\n[1]君は気持ちよくて止められなくなるんだよね？』","<Karen>
""Ahaha♪ This is punishment, so you must go through it
 to the end♪ But I'm sure that now you've started, you
 can't stop even if you wanted since it feels good♪"""
"<可憐>
『それじゃあそのまま私の靴の匂いに夢中になって、
　大切なレベルを、
　オナニーでぴゅっぴゅって私に差し出しちゃえ♪』","<Karen>
""Keep sniffing my shoe like crazy and blow your load
 and precious levels to me with your own hands♪"""
"可憐は楽しそうに、
靴を鼻に押し当てながらオナニーにふける貴方を見つめる。
貴方は屈辱と興奮がごちゃ混ぜになりながら、
夢中で可憐の靴の匂いを嗅いで肉棒を扱き続ける。","Karen seemed to be having the time of her life watching
your masturbation while holding her shoe to your nose.
You kept sniffing and masturbating in a daze, with your
mind jumbled up from humiliation and arousal."
"<可憐>
『靴なんかで、って思ってても手が止められない♪
　いい匂いなんかじゃないのに、それでも、
　おちんぽ固くなってシコシコで気持ちよくなっちゃう♪』","<Karen>
""You can't stop stroking even when you know it's just
 my shoe♪ Even when it smells terrible, your dick is
 rock hard, and stroking with it makes you feel good♪"""
"<可憐>
『\n[1]君って、
　ほんとにどうしようもない変態なんだね♪
　マゾってみんなこんな感じなの？』","<Karen>
""\n[1], you are a hopeless pervert♪
 Are all masochists like this?"""
"嘲笑を浮かべながらの彼女の言葉が貴方の屈辱を煽る。
それでも貴方は彼女の言う通りに手は止められず、
汗とフェロモンが入り混じった濃厚な靴の匂いに理性は焦げ、
肉棒を上下に激しく扱いて快楽を感じてしまう。","Karen continued making fun of you with a grin. Even as
she did that, you couldn't stop pleasuring yourself
when the smell of sweat and the pheromones in her shoe
burned away your reason."
"女の子の身体の一部ですらない、
単なる足の残り香があるだけのただの靴………
そんなものでオナニーを強制させられているのに、
どういうわけだが肉棒はすぐにイきそうになってしまう。","It wasn't Karen's body. Just her shoe and the lingering
smell of her feet. Despite knowing that and being
forced to masturbate with it, your penis was closing
on orgasm for some unknown reason."
"<可憐>
『あれ？もしかしてもうイきそうなの？
　靴なんかでオナニーさせられてるのに、
　さっきより早くイっちゃうんだね♪』","<Karen>
""Eh? \n[1], are you already about to cum?
 Even though you're fapping with my shoe,
 that's much faster than before♪"""
"<可憐>
『それだけ私の靴で興奮しちゃったんだ♡
　嫌だ嫌だ、なんて言ってたのは口だけだったのかな？』","<Karen>
""That's how much my shoe is turning you on♡ You keep
 saying no, but your body keeps saying yes as if it has
 been waiting its whole life for this♡"""
"可憐はいたずらっぽくからかうようにそう言う。
貴方は、違うと首を弱々しく振るも、
やはり手は止められずに激しく肉棒を扱き続けてしまう。","Karen impishly teased about your fixation on her shoe.
You weakly shook your head to deny it, but even as you
did, your hand kept going hard on your penis without
any signs of stopping."
"そんな貴方の耳元に可憐は顔を近づけ、
囁くように唇を開く。","While you were masturbating in a daze, Karen brought
her lips to your ear and opened them in whisper..."
"<可憐>
『そんなビクビクしながら否定しても説得力ないよ♪
　\n[1]君はこのまま靴の匂いでイっちゃう♡
　靴なんかでレベルを搾り取られちゃう♡』","<Karen>
""It's pointless to deny it when your whole body is 
 trembling from excitement♪ You will cum to my foot
 smell♡ You will get level drained by my shoe♡"""
"<可憐>
『ほら、もうおちんぽ我慢できない♡
　………イっちゃえ♡イけ♡
　靴の匂いで精液出せ♡\n[1]♡』","<Karen>
""Just look♪ Your dick is already at its limit♡ Now...
 Push yourself past the edge and cum♡ Shoot your load
 with my smelly shoe, \n[1]♡"""
"耳元で囁かれる命令と、初めての呼び捨て、
それに促されるまま、貴方は大量の精液を放ってしまう。
そして、やはり先ほどと同じ力の流出を感じる。","When Karen whispered the order, you couldn't help but
comply and shoot a massive load of semen. As you did,
you felt a part of your power transferring to her as
it did before."
"<可憐>
『やっぱり、レベルドレインは起きるみたいだね♪
　なんにもしないで、
　一気に大量の経験値手に入れちゃった♪』","<Karen>
""Looks like that counted as level drain too♪ I got so
 much EXP without as much as lifting a finger♪"""
"可憐は貴方のレベルを受け取り、
くすくすと微笑みながらそう告げる。
その余裕を感じる態度に、貴方は屈辱感を煽られる。","Karen boasted how easily she drained your levels with
a giggle. Her carefree attitude made you feel all the
more humiliated."
"<可憐>
『なんかちょっと得した気分♪
　ありがとね、\n[1]君♡』","<Karen>
""That turned out quite profitable♪ Thanks for the help,
 \n[1]♡"""
"<可憐>
『じゃ、私はマッサージの続きをしてるね。
　弱くなっちゃったけど、これからも頑張って？』","<Karen>
""Now then, I'm still not finished with the massage, so
 I'm staying here a while longer. I may have ended up
 making you weaker, but make sure to work hard, okay?"""
"<アル>
『\n[1]……その、
　マゾなのは悪いことじゃないと思うよ？』","<Al>
""Um, \n[1]... Even if you're a masochist,
 I won't think any less of you, okay?"""
"アルは俯く貴方を慰めるよう、そう言葉をかけてくれた。","Al tried to comfort you as you hung your head in shame."
"<可憐>
『ううん、大丈夫♪
　\n[1]君も疲れたら、
　ちゃんとした休憩を取ることをお勧めするよ♡』","<Karen>
""No, it's alright♪ I really recommend taking a breather
 if you feel tired♡"""
"<可憐>
『どうしたの？
　またオナニーさせて欲しいの？』","Karen
""What's up? Do you want to have a go with my other
 shoe too?"""
"可憐はくすくすとからかうような笑みで貴方を見つめている。","Karen teased you with a grin."
"EV026",""
"『少し休んでいきますか？』","Rest for a moment?"
"はい","Yes"
"いいえ","No"
"<アル>
『え？この部屋で休んでいくの？
　まぁ、休息は大事だもんね！お休み、\n[1]！』","<Al>
""Eh? Are we going take a rest here?
 Well, it's important to take too!
 Good night, \n[1]!"""
"<アル>
『お休み、\n[1]。
　私が見張ってるね…？』","<Al>
""Good night, \n[1].
 I'll keep watch of the surroundings!"""
"EV027",""
"EV028",""
"EV030",""
"EV031",""
"回想部屋に移動しますか？
【回想部屋でのレベルの上下は、
　ダンジョンに戻るときにリセットされます】","Teleport to scene room?
【Any level chances made in the scene room will reset
  once you return】"
"EV032",""
