"EV001","",""
"<アル>
『\n[1]には私がいるもんね！
　私が淫気をちゃーんと制御してあげてたんだもん♪』","",""
"<アル>
『それに、\n[1]は淫気に犯されなかったら、
　無理やり女の子を犯したりする人じゃなかったんだもんね！
　えへへー♪私たち2人の結果だよ♪』","",""
"アルは誇らしげに笑いながら、
貴方に向かってそう告げる。
そんなアルに貴方は感謝の言葉を告げた。","",""
"<メイド長>
『たし、かに……
　レベル反転を無効化できるのであれば、
　ご主人様にも勝てるかもしれませんね…………』","",""
"<メイド長>
『…貴方を止められる、
　理由がなくなってしまいましたか……
　申し訳ありません、ご主人様…………』","",""
"メイド長は残っていた気力が尽きてしまったのか、
そう謝罪の言葉を告げると気を失ってしまった。","",""
"<アル>
『…この人はご主人様のために、
　なんとしても\n[1]を止めたかったんだね………
　でも、私たちも先に進まないと！』","",""
"<アル>
『行こ！\n[1]♪
　ボス部屋はきっと、すぐ先の部屋だよ！』","",""
"<アル>
『……う、う～ん……
　なるほど……\n[1]も、
　ちょっとレベルドレインしちゃってるよね……？』","",""
"<アル>
『どれくらい、影響があるんだろ……
　もしかしたらほんとに、
　\n[1]も勝てないかも…？』","",""
"メイド長の言葉にアルが不安そうに瞳を揺らす。
……確かに、少し影響があるかもしれない……
それでも、ここまで来て立ち止まるわけにはいかなかった。","",""
"<アル>
『……ん…そう、だよね。うん、
　あんまりレベルドレインしてないし、
　他の子よりはきっと、影響も少ないはずだよ！』","",""
"貴方はそういうアルに頷き、
床に倒れているメイド長に自分はそれでも先に進むと、
そう告げた。","",""
"<メイド長>
『そう、ですか………
　申し訳ありません、ご主人様……
　私では、止めることができませんでした…………』","",""
"<アル>
『正直厳しい戦いになるかもしれないけど………
　頑張ろうね、\n[1]！』","",""
"メイド長の言葉に貴方は考え込む。
確かに、そんな魔法があるのなら………
そう、脅威に感じざるを得なかった。","",""
"<アル>
『……\n[1]……
　多分、この人が言ってることは本当だよ……？
　\n[1]じゃ、勝てないと思う……』","",""
"<アル>
『家畜は、嫌かもしれないけど………
　死んじゃうよりは、
　まだそっちのほうがいいんじゃないかな…………』","",""
"考え込む貴方にアルがそう話しかけてくる。
……確かに、死ぬよりはましかもしれない。
けれど、まだ負けると決まったわけでもない。","",""
"貴方はアルとメイド長に、
自分は先に進むと告げた。","",""
"<アル>
『\n[1]……私はやめた方がいいと…………』","",""
"<アル>
『……ううん、なんでもない…………』","",""
"貴方のその態度に、
アルは自分では行動を変えられないと諦め、
悲しそうに目を伏せた。","",""
"…………先に進もう。","",""
"<メイド長>
『うぐっ…………』","",""
"貴方は此方を見上げる彼女の首に打撃を与え、
気絶させた……","",""
"<アル>
『う、この人、真剣だったし……
　嘘を言ってるようには見えなかったけど…………』","",""
"<メイド長>
『…ここまでやってきましたか。
　まさか元家畜の貴方がここまでやってこれるとは…
　少し、貴方のことを見誤っていましたね。』","",""
"<メイド長>
『協力者についてはうすうす把握しています。
　……ご主人様も人が甘いですね、
　あんな危険人物を自由にさせるだなんて…………』","",""
"<アル>
『う…まぁ、反抗的なのがあの子だけなら、
　そりゃ誰が協力してるのかくらい分かるよね…
　あの子、この後大丈夫なのかな？』","",""
"メイド長の言葉にアルがそう言葉を漏らす。
確かに、優香の今後のことが気がかりだった。","",""
"<メイド長>
『……ご安心ください。
　貴方を捕まえた後でも、彼女に危害は及ばないでしょう。
　ご主人様はそういうお方ですから。』","",""
"<メイド長>
『まぁ、私の方から、
　きつい説教の一つや二つはさせていただきますけどね。』","",""
"<メイド長>
『しかし、
　貴方に人の心配をする余裕などあるのですか？
　今ここで、私に教育されてしまうというのに。』","",""
"メイド長はクスリと微笑みながら、
貴方にそう言葉を投げかけた。","",""
"<アル>
『う……\n[1]は負けないもん！
　貴女に勝って、先に進むんだから！
　もう家畜になんてされないからね！』","",""
"メイド長の言葉にアルが強くそう返答する。
そんな彼女に同意しつつ、貴方はメイド長へと剣を向けた。","",""
"<メイド長>
『一度女に敗北し、
　その身を家畜に堕としているわりには…
　随分と威勢がいいのですね。』","",""
"<メイド長>
『かしこまりました。
　それでは貴方は私が直々に教育して差し上げましょう。
　女に屈する快楽に溺れてしまってください。』","",""
"メイド長は息も絶え絶えに、そう言葉を紡ぐ。
そんな彼女に、
貴方はレベル反転の魔法のことなら知っていると告げた。","",""
"<メイド長>
『………っ……それを、知っていて…何故………』","",""
"貴方の言葉にメイド長は目を見開き、驚いているようだ。","",""
"<アル>
『それじゃ\n[1]が勝てない理由にはならないからだよね！
　だってレベルドレインなんてしたことないんだもん！』","",""
"<メイド長>
『レベルドレインをしたことはない………？
　う、うそ……ここまで、来ているのに……？』","",""
"<アル>
『……\n[1]も、
　ちょっとレベルドレインしちゃってるけど…
　そこまでたくさんしたわけじゃないもんね？』","",""
"<アル>
『だから他の子よりはきっと、影響も少ない…
　厳しい戦いになるかもしれないけど、
　勝ち目がないわけじゃはずだもん！』","",""
"貴方はそういうアルに頷き、
床に倒れているメイド長に自分はそれでも負けないと、
そう告げた。","",""
"<アル>
『気を引き締めて頑張ろうね、\n[1]！
　きっと、今まで以上に苦戦はしちゃうと思うよ！』","",""
"<アル>
『ねぇ……\n[1]……
　やっぱり、考え直そうよ…
　\n[1]じゃ、勝てないと思う……』","",""
"<メイド長>
『…また脱走ですか。
　前回あれほど情けない姿をさらしたというのに、
　懲りない人ですね。』","",""
"<メイド長>
『彼女への私の説教も甘かったということでしょうか。
　……まぁ、構いませんよ。
　何度でも教育して差し上げますから。』","",""
"<アル>
『う…こ、今回は負けないもんね！
　せっかく抜け出してここまで来たんだもん。
　頑張ろ、\n[1]！』","",""
"<メイド長>
『何度やっても結果は変わりませんよ。
　貴方は私に敗北し、
　女に家畜として跪くことになるのです。』","",""
"<メイド長>
『それでは覚悟して頂きましょうか。
　身の程知らずな貴方の精、
　たっぷりと搾り取って差し上げますね。』","",""
"<メイド長>
『ぐ、うぅ…………
　こん、な…………貴方に、私が………』","",""
"EV028","",""
"EV029","",""
"<サキュバスクイーン>
『いらっしゃい。出来れば、
　私の部屋の前で止まってほしかったのだけれど。』","",""
"貴方を出迎えた妖艶な女性は、
ふわりと柔らかな笑顔でそう貴方に告げる。","",""
"<アル>
『そんなことできないよ！
　\n[1]は、家畜になんて…………
　…………あれ…………？』","",""
"ボスの言葉にアルがそう強く言っていると、
途中でアルの瞳から涙が零れ落ちてくる。","",""
"<アル>
『…ん、だ、大丈夫！
　なんでかわけわかんないけど、
　ちょっと急に涙が出てきただけだから……！』","",""
"<アル>
『き、気にしないで？
　それより、ボス戦だよ！
　ここで、負けるわけにはいかないよね……！』","",""
"アルは空元気を振り絞る様に、
そう言いながら目の前の戦いへの集中を貴方に促した。","",""
"<サキュバスクイーン>
『……随分余裕なのね。
　敵から目を離すだなんて。
　その余裕は、命取りよ？』","",""
"貴方がアルに気をとられている隙を見逃さず、
サキュバスクイーンは魔法を唱える。
すると、貴方の周りに黒い靄がまとわりついた。","",""
"しかし、その靄がはれても、
貴方の身体に鼻にも影響がなかった。
おそらく、先ほどの魔法がレベル反転の魔法だったのだろう。","",""
"<アル>
『う、隙をついてくるなんてズルいよ！
　でも、そんなの\n[1]には効かないもん！』","",""
"<サキュバスクイーン>
『…はったり、ではなかったのね。
　まさか、本当に効かないだなんて……』","",""
"何ともない様子の貴方を彼女は驚いたように見つめ、
そしてふと何かに気が付いたように寂し気な笑みを浮かべた。","",""
"<サキュバスクイーン>
『…そう、そういうこと。
　………あの子の望みは…………』","",""
"ポツリとそう言葉をつぶやくと、
サキュバスクイーンは表情を一変させ、
貴方を強い表情で見つめる。","",""
"<サキュバスクイーン>
『…ごめんなさい。これは、私のエゴよ。
　例えそうだとしても貴方を先には進ませない。
　貴方にはここで終わってもらうわ。』","",""
"どうして先に進ませたくない？","",""
"貴女を倒して先に進む","",""
"<サキュバスクイーン>
『もしそれを話したとしたら、
　貴方はとまってくれるのかしら？
　……ふふ。なんて、意地悪な質問だったわね。』","",""
"<サキュバスクイーン>
『でも私はそれを話すことはできない………
　ごめんなさいね。私も色々と縛られているの。』","",""
"<サキュバスクイーン>
『だから私と貴方で対話なんて不可能よ。
　………お互い、悔いのないようにしましょう？
　せめて快楽の中で終わらせてあげるわ。』","",""
"<アル>
『わ、く、来るよ！
　大丈夫、\n[1]なら絶対勝てる！
　応援してるから、頑張ってね！！』","",""
"<サキュバスクイーン>
『ふふ♡話が早くて助かるわ。
　ええ、貴方が先に進むためには、
　ここで私を倒すしかないの。』","",""
"<サキュバスクイーン>
『………お互い、悔いのない戦いにしましょう？
　せめて快楽の中で終わらせてあげるわね。』","",""
"<サキュバスクイーン>
『けほっ……強い、わね。
　さすが、あの子が選んだ子……ということかしら……』","",""
"<サキュバスクイーン>
『負けてしまった、んだもの……
　もう、貴方を止められないわよ、ね……
　また、私は…………』","",""
"<サキュバスクイーン>
『……ぐ、どうか、
　あの子をよろしく、ね…………』","",""
"そう言いながら光の粒子となり、
貴方に吸い込まれるサキュバスクイーンをアルは、
物憂げな顔で見つめていた。","",""
"大丈夫？","",""
"先に進もう","",""
"<アル>
『う、うん、大丈夫………
　なんでか分からないけど、
　胸がすごくきゅぅってしたの…………』","",""
"<アル>
『………でも、平気だよ！
　ほ、ほら、ボスを倒したんだし、
　あの子との約束を果たさないと！』","",""
"アルは笑顔を見せ、貴方にそう告げた。","",""
"<アル>
『…………うん！
　あ、でもその前に、あの子との約束があるよ？
　負けないように……頑張ろうね！』","",""
"黒い靄がはれると、
貴方は普段よりも身体が重くなるのを感じる。
おそらく、先ほどの魔法がレベル反転の魔法だったのだろう。","",""
"<アル>
『う、隙をついてくるなんてズルいよ！
　……\n[1]、大丈夫？ちゃんと動ける？』","",""
"そう心配の言葉をかけてくれるアルに、
貴方は何とか大丈夫だとそう返事した。","",""
"<サキュバスクイーン>
『確かに、他の子よりも影響は少ないみたいね。
　でも……そんな動くのにも苦労する状態で、
　私に勝つことなんてできるのかしら。』","",""
"サキュバスクイーンは小さく笑みを浮かべながら、
そう貴方を挑発する。","",""
"<アル>
『か、勝てるもん！
　\n[1]、正直かなり厳しいとは思うけど……
 私、信じてるからね！頑張って！！』","",""
"彼女の挑発にそう返答してそういうアルに、
貴方は頷き、重い身体で剣を構えた。","",""
"<サキュバスクイーン>
『…そう、分かったわ。
　それじゃ、快楽の中で終わらせてあげるわね。
　どこからでもかかっていらっしゃい♡』","",""
"<サキュバスクイーン>
『けほっ………私の、負け……
　もう、貴方を止められないわよ、ね……
　また、私は…………』","",""
"<サキュバスクイーン>
『……止まることなんてできない、って顔ね。
　そんなに家畜にされるのは嫌だった？
　案外、男にとっては悪くないものかもしれないわよ。』","",""
"ちょっと心惹かれた","",""
"女の家畜にされるなんて冗談じゃない","",""
"<サキュバスクイーン>
『あら、そう言ってくれると嬉しいわ。
　………そう思いながらも機会がなくて、
　ここまで来てしまったの？』","",""
"<サキュバスクイーン>
『悪いわね。後戻りはできないの。
　もう家畜にはしてあげられないけれど………
　その分、最高の快楽を味わわせてあげるわ。』","",""
"サキュバスはそう告げると、魔法を唱える。
すると、貴方の身体には黒い靄がまとわりつき……
それがはれるころには、
身体はまともに動かなくなってしまっていた。","",""
"<サキュバスクイーン>
『レベル反転の魔法……
　まさかここまでとは思ってなかった？
　もう、満足に身体を動かせないわよね。』","",""
"<サキュバスクイーン>
『せっかく彼女が前の部屋で忠告してくれたのに、
　それを無視した自分を恨んで頂戴。』","",""
"重い身体を引きずる貴方を見つめ、
サキュバスクイーンは笑みを浮かべた。","",""
"<サキュバスクイーン>
『さ………男としてこれ以上ない天国の中で、
　貴方のレベルを吸い尽くしてあげる。
　たっぷりと堪能しなさい♡』","",""
"<サキュバスクイーン>
『ぐ、そんな……
　どうして、あんな状態で…………』","",""
"<サキュバスクイーン>
『いえ……負けてしまった、んだもの……
　もう、貴方を止められないわよ、ね……
　また、私は…………』","",""
"<サキュバスクイーン>
『そう…まぁ、そうよね。
　ええ、プライドが許さなかった、というのは分かるわ。』","",""
"<サキュバスクイーン>
『でも、それでもと思わざるを得ないの。
　だって貴方は絶対に、私には勝てないんだもの。』","",""
"<メイド長>
『そっちに行ってはいけません。
　ご主人様は近づく人と否応なく戦わなければいけません。
　貴方ではすぐに全てを搾りつくされてしまいますよ。』","",""
"<アル>
『う、ここから先に行くのは少なくとも、
　この契約の魔術を何とかしてからにしようね…』","",""
"…ここから先に進むのは、
契約魔術を何とかしてからにしよう。","",""
"EV030","",""
"EV031","",""
"EV032","",""
"<アル>
『た、多分これに触れたら先に進めるってことだよね？
　\n[1]、準備は良い？』","",""
"準備OK","",""
"まだもう少し準備する","",""
"<アル>
『ん…じゃあ、すすもっか！
　次も頑張ろうね♪』","",""
"貴方は不思議な渦に触れた。","",""
"<アル>
『分かった！
　それじゃ、しっかり準備しようね♪』","",""
"<アル>
『\n[1]、先にあの子との約束果たさなくていいの？
　多分、これに触ったら次の場所に行っちゃうと思うけど…』","",""
"忘れてた","",""
"約束なんて破っていい","",""
"<アル>
『ふふ♪まぁ、ボス戦大変だったもんね！
　でもあの子もきっと強敵だよ！
　気を引き締めていこうね！』","",""
"<アル>
『え？まぁ、うん、
　先に追っては来れないだろうけど……
　い、いいのかな？』","",""
"そう首を傾げるアルに、
貴方はいい、と答えた。","",""
"<アル>
『う～ん、まぁ、負けちゃうかもだもんね…
　ん、分かった！そ、それじゃ、先に進んじゃおっか！』","",""
"EV033","",""
"<サキュバス>
『ん？私が復活してることに驚いてるの？
　私も他のモンスターと同じように、
　少しすれば復活するわよ。』","",""
"<サキュバス>
『特に階層主は復活が早いわね。
　とはいえ、
　もう貴方に自分から攻撃はできないのだけれど。』","",""
"<アル>
『ふふ…なんでだろう、
　この人が復活してるの見てると、
　胸がポカポカするな……♪』","",""
"<サキュバス>
『あら、すぐには先に進まなかったのね。
　何か用事があったの？』","",""
"貴方はそう尋ねるサキュバスに、
優香と戦ったことを話した。","",""
"<サキュバス>
『そう、あの子と…
　…あの子のことは私たちに任せてちょうだいね。
　悪いようにはしないわ。』","",""
"<アル>
『カウンセリング……とか、かな？
　この人、本当に面倒見がいいんだね～…
　な、なんかまた涙が！？』","",""
"<サキュバスクイーン>
『ふふ♡また誘惑してほしい？
　…今度こそ堕としてあげるわよ♡』","",""
"<アル>
『わー！？ダメだよ！
　は、早く先に進まないと…！』","",""
"EV034","",""
"【チュートリアル：メイドたちのスキップ機能】
メイドたちとの戦闘スキップは、
カードとは異なりHP,MPの両方に一定のダメージを受けます。","",""
"そのダメージでHP,MPのどちらかが1以下となった場合、
敗北シーンが発生してしまうので、
その二つの残量には少し注意しましょう。","",""
"また、彼女たちを倒しても、
直接経験値を得ることはできません。
この館どこかにいる、
コインを経験値に変換してくれる商人を探しましょう。","",""
"その分、彼女たちから得られる経験値は多めです。
また彼女たちは特定のエリアに侵入するまでは、
追ってくることはないので戦闘は計画的に。","",""
"EV035","",""
"回想部屋に移動しますか？
【回想部屋でのレベルの上下は、
　ダンジョンに戻るときにリセットされます】","",""
